Partition,c,λ2,k,j,Grundy (g),P/N-Position (Normal),Misere Value,P/N-Position (Misere),Uptimality,Game Depth,Winning Move Count,Winning Moves (Normal)
"11 6 2 2 2 2 2 1 1",11,6,5,2,8,N,Winning,N,27,29,1,"[R0C10,R6C1,R8C0]"
"12 6 2 2 2 2 2 1 1",12,6,5,2,9,N,Winning,N,29,30,1,"[R6C1,R8C0]"
"13 6 2 2 2 2 2 1 1",13,6,5,2,3,N,Winning,N,29,31,1,"[R0C12,R6C1,R8C0]"
"14 6 2 2 2 2 2 1 1",14,6,5,2,10,N,Winning,N,31,32,1,"[R6C1,R8C0]"
"15 6 2 2 2 2 2 1 1",15,6,5,2,8,N,Winning,N,31,33,1,"[R0C14,R6C1,R8C0]"
"16 6 2 2 2 2 2 1 1",16,6,5,2,2,N,Winning,N,33,34,1,"[R6C1,R8C0]"
"17 6 2 2 2 2 2 1 1",17,6,5,2,3,N,Winning,N,33,35,1,"[R0C16,R6C1,R8C0]"
"18 6 2 2 2 2 2 1 1",18,6,5,2,14,N,Winning,N,35,36,1,"[R6C1,R8C0]"
"19 6 2 2 2 2 2 1 1",19,6,5,2,15,N,Winning,N,35,37,1,"[R0C18,R6C1,R8C0]"
"20 6 2 2 2 2 2 1 1",20,6,5,2,14,N,Winning,N,37,38,1,"[R6C1,R8C0]"
"7 7 2 2 2 2 2 1 1",7,7,5,2,3,N,Winning,N,25,26,1,"[R6C1,R8C0]"
"8 7 2 2 2 2 2 1 1",8,7,5,2,6,N,Winning,N,25,27,2,"[R0C7,R6C1,R8C0] / [R1C6,R6C1,R8C0]"
"9 7 2 2 2 2 2 1 1",9,7,5,2,2,N,Winning,N,25,28,1,"[R0C8,R1C6,R6C1,R8C0]"
"10 7 2 2 2 2 2 1 1",10,7,5,2,10,N,Winning,N,27,29,1,"[R1C6,R6C1,R8C0]"
"11 7 2 2 2 2 2 1 1",11,7,5,2,11,N,Winning,N,27,30,1,"[R0C10,R1C6,R6C1,R8C0]"
"12 7 2 2 2 2 2 1 1",12,7,5,2,5,N,Winning,N,29,31,1,"[R1C6,R6C1,R8C0]"
"13 7 2 2 2 2 2 1 1",13,7,5,2,12,N,Winning,N,29,32,1,"[R0C12,R1C6,R6C1,R8C0]"
"14 7 2 2 2 2 2 1 1",14,7,5,2,5,N,Winning,N,31,33,1,"[R1C6,R6C1,R8C0]"
"15 7 2 2 2 2 2 1 1",15,7,5,2,6,N,Winning,N,31,34,1,"[R0C14,R1C6,R6C1,R8C0]"
"16 7 2 2 2 2 2 1 1",16,7,5,2,9,N,Winning,N,33,35,1,"[R1C6,R6C1,R8C0]"
"17 7 2 2 2 2 2 1 1",17,7,5,2,6,N,Winning,N,33,36,1,"[R0C16,R1C6,R6C1,R8C0]"
"18 7 2 2 2 2 2 1 1",18,7,5,2,7,N,Winning,N,35,37,1,"[R1C6,R6C1,R8C0]"
"19 7 2 2 2 2 2 1 1",19,7,5,2,12,N,Winning,N,35,38,1,"[R0C18,R1C6,R6C1,R8C0]"
"20 7 2 2 2 2 2 1 1",20,7,5,2,13,N,Winning,N,37,39,1,"[R1C6,R6C1,R8C0]"
"8 8 2 2 2 2 2 1 1",8,8,5,2,4,N,Winning,N,27,28,1,"[R6C1,R8C0]"
"9 8 2 2 2 2 2 1 1",9,8,5,2,5,N,Winning,N,27,29,1,"[R0C8,R6C1,R8C0]"
"10 8 2 2 2 2 2 1 1",10,8,5,2,3,N,Winning,N,29,30,1,"[R6C1,R8C0]"
"11 8 2 2 2 2 2 1 1",11,8,5,2,6,N,Winning,N,29,31,1,"[R0C10,R6C1,R8C0]"
"12 8 2 2 2 2 2 1 1",12,8,5,2,7,N,Winning,N,31,32,1,"[R6C1,R8C0]"
"13 8 2 2 2 2 2 1 1",13,8,5,2,3,N,Winning,N,31,33,1,"[R0C12,R6C1,R8C0]"
"14 8 2 2 2 2 2 1 1",14,8,5,2,7,N,Winning,N,33,34,1,"[R6C1,R8C0]"
"15 8 2 2 2 2 2 1 1",15,8,5,2,2,N,Winning,N,33,35,1,"[R0C14,R6C1,R8C0]"
"16 8 2 2 2 2 2 1 1",16,8,5,2,10,N,Winning,N,35,36,1,"[R6C1,R8C0]"
"17 8 2 2 2 2 2 1 1",17,8,5,2,2,N,Winning,N,35,37,1,"[R0C16,R6C1,R8C0]"
"18 8 2 2 2 2 2 1 1",18,8,5,2,11,N,Winning,N,37,38,1,"[R6C1,R8C0]"
"19 8 2 2 2 2 2 1 1",19,8,5,2,2,N,Winning,N,37,39,1,"[R0C18,R6C1,R8C0]"
"20 8 2 2 2 2 2 1 1",20,8,5,2,3,N,Winning,N,39,40,1,"[R6C1,R8C0]"
"9 9 2 2 2 2 2 1 1",9,9,5,2,3,N,Winning,N,29,30,1,"[R6C1,R8C0]"
"10 9 2 2 2 2 2 1 1",10,9,5,2,6,N,Winning,N,29,31,2,"[R0C9,R6C1,R8C0] / [R1C8,R6C1,R8C0]"
"11 9 2 2 2 2 2 1 1",11,9,5,2,2,N,Winning,N,29,32,1,"[R0C10,R1C8,R6C1,R8C0]"
"12 9 2 2 2 2 2 1 1",12,9,5,2,8,N,Winning,N,31,33,1,"[R1C8,R6C1,R8C0]"
"13 9 2 2 2 2 2 1 1",13,9,5,2,9,N,Winning,N,31,34,1,"[R0C12,R1C8,R6C1,R8C0]"
"14 9 2 2 2 2 2 1 1",14,9,5,2,10,N,Winning,N,33,35,1,"[R1C8,R6C1,R8C0]"
"15 9 2 2 2 2 2 1 1",15,9,5,2,1,N,Winning,N,33,36,1,"[R0C14,R1C8,R6C1,R8C0]"
"16 9 2 2 2 2 2 1 1",16,9,5,2,9,N,Winning,N,35,37,1,"[R1C8,R6C1,R8C0]"
"17 9 2 2 2 2 2 1 1",17,9,5,2,3,N,Winning,N,35,38,1,"[R0C16,R1C8,R6C1,R8C0]"
"18 9 2 2 2 2 2 1 1",18,9,5,2,12,N,Winning,N,37,39,1,"[R1C8,R6C1,R8C0]"
"19 9 2 2 2 2 2 1 1",19,9,5,2,3,N,Winning,N,37,40,1,"[R0C18,R1C8,R6C1,R8C0]"
"20 9 2 2 2 2 2 1 1",20,9,5,2,12,N,Winning,N,39,41,1,"[R1C8,R6C1,R8C0]"
